QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 152 :  Les facteurs de virulence de Porphyromonas gingivalis sont : || V:  elastina |   catalaza | V:  endotoxine |  caspaza |  coagulaza |  perforinele |  leucotoxine | V: gingipain | V: capsule | V: fimbriae
QCM || Question 153 :  A propos de Aggregatibacter actinomycetemcomitans nous pouvons dire : ||   V:  est une bactérie naturellement résistante au métronidazole |  est une bactérie fortement associée à la maladie parodontale |   est une bactérie strictement anaérobie. |  est une bactérie naturellement sensible au métronidazole | V:  fait partie du groupe HACEK |  fait partie du groupe des actinomycètes |   est un bacille gram-positif | V:  est un bacille gram-négatif | V:  est une bactérie microaérophile et carboxyphile |  est une bactérie fortement associée à la maladie parodontale
QCM || Question 154 :  Les facteurs de virulence d'Aggregatibacter actinomycetemcomitans sont : || V:  endotoxine | V:  CDT (cytolethal distensing toxin) |   toxine botulinique | V:  chaperonine |   leucoplastine | toxine érythrogène | V:  leucotoxine |  toxine filamenteuse |   leucotriène | V:  toxine induisant la résorption osseuse
QCM || Question 155 :  A propos de Treponema denticola, nous pouvons dire : || V: il appartient au groupe des tréponèmes pathogènes | V: Il s'agit d'une bactérie strictement anaérobie. | V: c'est une bactérie naturellement sensible à la pénicilline | V: il s'agit d'une bactérie fortement associée à la maladie parodontale |  est un bacille rigide en spirale
QCM || Question 156 :  Prevotella intermedia : ||   est une bactérie associée à la maladie parodontale chez les nourrissons | V:  est un bacille gram-négatif |   est un coccus gram-négatif |   est une espèce naturellement résistante au métronidazole |   est une bactérie facultative | V: est une bactérie productrice de pigments |  Les hormones thyroïdiennes sont des facteurs de croissance pour cette espèce. | V:  les hormones œstrogènes sont des facteurs de croissance pour cette espèce | V:  est une espèce naturellement sensible au métronidazole | V:  est une bactérie associée à la maladie parodontale chez les femmes enceintes
QCM || Question 157 :  Tannerella forsythia: ||  est une espèce naturellement sensible aux aminosides | V:  est un bacille gram-négatif |   est une bactérie faiblement associée à la maladie parodontale | V:  les hormones œstrogènes sont des facteurs de croissance pour cette espèce | V:  est une bactérie strictement anaérobie. | V: les hormones œstrogènes sont des facteurs de croissance pour cette espèce |  est une bactérie fortement associée à la maladie parodontale | V:  il s'agit d'une espèce naturellement sensible au métronidazole |   Il s'agit d'un coccus gram-négatif. |   est une bactérie carboxyphile
QCM || Question 158 :  Fusobacterium nucleatum: ||   il s'agit d'une bactérie non-exigeantes en nutriments |   est une bactérie faiblement associée à la maladie parodontale | V:  est une bactérie fortement associée à la maladie parodontale | V:  est une bactérie strictement anaérobie. | V:  les hormones œstrogènes sont des facteurs de croissance pour cette espèce | V: est un bacille gram-négatif |   les hormones œstrogéniques ne sont pas des facteurs de croissance pour cette espèce |   c'est une espèce naturellement sensible à la vancomycine |   est un bacille filamenteux gram-positif | V:  il s'agit d'une espèce naturellement sensible au métronidazole
QCM || Question 159 :  A propos du diagnostic étiologique de la maladie parodontale: || V:  le diagnostic moderne est coûteux et difficilement accessible |   le diagnostic classique est accessible aux laboratoires ordinaires |   les diagnostics modernes sont accessibles aux laboratoires ordinaires | V:  ce n'est pas fait de routine | V:  l'association des méthodes est la meilleure approche du diagnostic étiologique | V: la culture est la seule méthode qui permet de tester la sensibilité aux antibiotiques des pathogènes parodontaux |   le test moléculaire est la seule méthode qui permet de tester la sensibilité aux antibiotiques des pathogènes parodontaux | V:  le diagnostic classique est cher et laborieux | V:  elle est pratiquée chez tous les patients atteints de formes sévères de la maladie |   les tests moléculaires sont l'étalon-or dans le diagnostic de la maladie parodontale
QCM || Question 160 :  Les antibiotiques utiles dans le traitement des lésions parodontales sont : ||   Pénicilline, 3x500 mg, 7-10 jours |   Gentamicine, 4x300 mg, 7-10 jours | V:  Clindamycine, 4x300 mg, 7-10 jours |   Ceftriaxone, 3X500 mg, 7-10 jours | V:  Métronidazole + Amoxicilline + acide clavulanique, 7-10 jours |  Oxacilline, 3x500 mg, 7-10 jours | V:  Métronidazole, 3x500 mg, 7-10 jours |   Oxacilline + acide clavulanique, 3x500 mg, 7-10 jours | V:  Amoxicilline, 3x500 mg, 7-10 jours | V:  Amoxicilline + acide clavulanique, 3x500 mg, 7-10 jours
QCM || Question 161 :  On peut dire à propos du traitement local de la maladie parodontale : ||   les bactéries ne développent pas de résistance aux antibiotiques administrés localement |   a plus d'effets secondaires localement que la thérapie systémique |   la pénicilline est un antibiotique qui peut être administré localement |   c'est moins cher que la thérapie systémique | V:  a une meilleure observance que la thérapie systémique |  a une observance du patient plus faible que la thérapie systémique | V:  les bactéries développent rapidement une résistance aux antibiotiques administrés par voie topique | V:  a moins d'effets secondaires que la thérapie systémique | V:  c'est plus cher que la thérapie systémique | V:  la doxycycline est un antibiotique qui peut être administré par voie topique
QCM || Question 162 :  On peut dire à propos du traitement local de la maladie parodontale : ||  peut utiliser des désinfectants à toxicité réduite pour la muqueuse buccale | V:  peut utiliser des antibiotiques ou des antiseptiques |   peut utiliser des solutions injectables ou des comprimés oraux | V:  la doxycycline est un antibiotique qui peut être administré par voie topique | V:  peut utiliser des antibiotiques sous forme de gels, de polymères, de fibres à libération contrôlée d'antibiotiques | V:  le métronidazole est un antibiotique qui peut être administré par voie topique |   la pénicilline est un antibiotique qui peut être administré localement |   la vancomycine est un antibiotique qui peut être administré par voie topique |   l'amoxicilline est un antibiotique qui peut être administré localement | V:  la tétracycline est un antibiotique qui peut être administré par voie topique
QCM || Question 163 :  Les antiseptiques oraux qui peuvent être utilisés dans le traitement local de la maladie parodontale sont : ||   les antiseptiques ne peuvent pas être utilisés dans le traitement des maladies parodontales |   l'hypochlorite de sodium à 10 % peut être utilisé comme antiseptique local | V:  peut être appliqué sous forme de dentifrice, rince-bouche, chewing-gum, sprays, gels |   la chlorhexidine peut être utilisée comme antiseptique uniquement dans les maladies carieuses | V:  l'hypochlorite de sodium 0,5% peut être utilisé comme antiseptique local | V:  le chitosane peut être utilisé comme antiseptique local |   le glutaraldéhyde peut être utilisé comme antiseptique local |   la chlorhexidine ne peut pas être utilisée comme antiseptique local | V:  le triclosan peut être utilisé comme antiseptique local | V:  la chlorhexidine peut être utilisée comme antiseptique local
QCM || Question 164 :  Le traitement antibiotique systémique dans la maladie parodontale a les indications suivantes : ||   patients atteints de gingivite de grossesse |  après un traitement chirurgical pour prévenir la bactériémie | V:  parodontite avec perte d'attache après un traitement approprié |  maladie parodontale nécrosante | V:  abcès parodontal avec extension aux loges voisines |  patients atteints de gingivite associée à une plaque bactérienne |   chez tous les patients présentant un abcès parodontal | V:  patients atteints de parodontite agressive | V:  avant la chirurgie parodontale pour prévenir la bactériémie | V:  parodontite généralisée chronique
QCM || Question 165 : . À propos du rôle des antibiotiques dans la maladie parodontale, nous pouvons dire : ||   la sensibilité aux antibiotiques des pathogènes parodontaux ne varie pas considérablement |   ils ont pour rôle de maintenir la concentration des pathogènes parodontaux dans le biofilm dentaire | V:  le traitement antibiotique n'est fait que dans certaines formes de maladies parodontales |   la sensibilité aux antibiotiques des pathogènes parodontaux ne varie pas considérablement |   ils ont pour rôle de maintenir la concentration des pathogènes parodontaux dans le biofilm dentaire | V:  il est administré à titre prophylactique pour prévenir l'invasion des tissus parodontaux après curetage des poches parodontales | V:  le traitement antibiotique n'est fait que dans certaines formes de maladies parodontales |   ont pour rôle d'éliminer le biofilm dentaire sus-gingival | V:  ont pour rôle d'éliminer le biofilm dentaire sous-gingival | V:  il est administré à titre prophylactique pour prévenir l'invasion des tissus parodontaux après curetage des poches parodontales
QCM || Question 166 :  Le traitement antibiotique systémique pour les maladies parodontales a les indications suivantes : || V:  parodontite avec perte d'attache après un traitement correct |   tous les patients présentant un abcès parodontal |  maladie parodontale nécrosante |  après un traitement chirurgical pour prévenir la bactériémie | V:  les patients atteints de formes agressives de parodontite |  les patients souffrant de gingivite gravidique | V:  avant une chirurgie parodontale pour prévenir la bactériémie | V:  abcès parodontal avec extension aux loges voisines | V:  parodontite chronique généralisée |   les patients atteints de gingivite à plaques
QCM || Question 167 :  En ce qui concerne le rôle des antibiotiques dans la maladie parodontale, nous pouvons dire : || sont destinés à contrôler la formation du biofilm dentaire |   la sensibilité aux antibiotiques des agents pathogènes parodontaux ne varie pas considérablement | V:  la sensibilité aux antibiotiques des agents pathogènes parodontaux varie | V:  sont destinés à éliminer les agents pathogènes parodontaux des tissus parodontaux | V:  sont destinés à réduire la concentration d'agents pathogènes parodontaux dans le biofilm dentaire | sont conçus pour éliminer le biofilm dentaire sous-gingival |   sont conçus pour maintenir la concentration des agents pathogènes parodontaux dans le biofilm dentaire |   l'antibiothérapie est un élément obligatoire du traitement des maladies parodontales | V:  sont administrés à titre prophylactique pour prévenir l'invasion des tissus parodontaux après le curetage des poches parodontales | V:  le traitement antibiotique n'est effectué que dans certaines formes de maladie parodontale
QCM || Question 168 :  La mise en culture, comme méthode de diagnostic dans les maladies parodontales : || V:  nécessite des milieux de culture spéciaux, non modifiés et différentiels | V:  est une méthode accessible uniquement aux laboratoires spécialisés dans la microbiologie buccale |   nécessite des milieux de culture cellulaire | V:  c'est la seule méthode qui permet de tester la sensibilité aux antibiotiques |   l'antibiogramme n'est pas nécessaire car les pathogènes parodontaux n'ont pas acquis de résistance aux antibiotiques | il s'agit de la principale méthode de diagnostic utilisée dans les maladies parodontales |   il s'agit d'une méthode de routine, accessible à tous les laboratoires | V:  c'est une méthode lente, car les bactéries pathogènes parodontales se développent lentement |   il s'agit d'une méthode rapide, car les bactéries pathogènes parodontales sont des bactéries à croissance rapide | V:  ce n'est pas une pratique courante, car il s'agit d'une méthode laborieuse et coûteuse.
QCM || Question 169 :  Les espèces bactériennes suivantes sont exigeantes au niveau nutritionnel : ||   Salmonella enterica |   Escherichia coli |   Pseudomonas aeruginosa |   Klebsiella pneumoniae | V:  Prevotella intermedia |   Staphilococcus aureus | V:  Aggregatibacter actinomycetemcomitans | V:  Eikella corrodens | V:    Haemophilus parainfluenzae | V:   Porphyromonas gingivalis
QCM || Question 170 :  Les bactéries peuvent accéder à la pulpe dentaire de la manière suivante: || V:  par des fractures de la dent, par un traumatisme coronal |  directement par les canaux parodontaux | V:  directement, à travers des lésions carieuses profondes | V:  via la voie pulpo-parodontale |   par des solutions antiseptiques contaminées |  par colonisation directe des canaux radiculaires |   la pulpe dentaire est normalement colonisée | V:  iatrogène, par colonisation des canaux dentaires après traitement d'une lésion carieuse | V:  anachorèse |   par une instrumentation non stérile
QCM || Question 171 :  Les procédures dentaires à haut risque bactériémique sont : ||   procédures de blanchiment des dents | V: curetage des poches parodontales | V: brossage brutal de dents | V: extractions dentaires |   fabrication de prothèses totales |   le traitement des caries dentaires superficielles | scellement des fosses occlusales | V: chirurgie parodontale | l'adaptation d'appareils orthodontiques | V:  chirurgie de la muqueuse buccale
QCM || Question 172 :  Les infections de la pulpe dentaire peuvent être compliquées par : ||   ostéosynthèse des bactéries |  propagation des bactéries à l'émail | V:  la propagation hématogène des bactéries |  abcès à distance | V:  propagation de la bactérie aux ganglions lymphatiques régionaux | V:  propagation des bactéries dans lʼespace cervical profond |   la propagation des bactéries buccales est peu probable car elles sont non pathogènes |   propagation des bactéries dans le neurone | V:  propagation directe des bactéries aux tissus mous de la bouche | V:  ostéomyélite
QCM || Question 173 :  En ce qui concerne l'étiologie de la pulpite, nous pouvons dire : ||  les bactéries responsables de la pulpite sont des bactéries pathogènes conditionnelles | V:  la pulpite est une infection multi-microbienne |   les bactéries responsables des pulpites sont des bactéries exogènes | V:  les bactéries responsables de la pulpite sont des bactéries pathogènes buccales |   Les pulpites sont des infections mixtes, causées par des bactéries strictement aérobies et strictement anaérobies. | V: Les pulpites sont des infections mixtes, causées par des bactéries facultatives et anaérobies. | V:  5-8 espèces bactériennes sont impliquées dans l'étiologie de la pulpite. |   les bactéries comme les champignons ou les virus sont impliqués dans l'étiologie de la pulpite. | V:  les bactéries qui causent la pulpite sont des bactéries endogènes qui font partie de la flore buccale. |   les pulpites sont des infections multi-microbiennes causées par 2-4 espèces bactériennes
QCM || Question 174 :  Les bactéries suivantes sont fréquemment impliquées dans l'étiologie des pulpites : || V:  Streptocoques oraux | V:  Prevotella melaninogenica | V:  Eikenella corrodens |   Escherichia coli |   Klebsiella pneumoniae |  Salmonella enterica |   Pseudomonas aeruginosa | V:  Haemophilus aprophilus |   Staphylococcus aureus | V:  Porphyromonas gingivalis
QCM || Question 175 :  En ce qui concerne le diagnostic étiologique des infections pulpaires, nous pouvons dire que : ||   Pour le traitement de la pulpite, il est absolument nécessaire de connaître l'étiologie | V:  Le diagnostic étiologique n'est pas systématiquement réalisé. | V:  le contrôle microbiologique de la stérilisation du canal radiculaire est recommandé dans le cadre | V:  Le diagnostic de pulpite est établi cliniquement. |  la recherche de l'étiologie de la pulpite n'est pas nécessaire car elle est déjà très bien connue. |  Il est nécessaire de faire une culture et de réaliser un antibiogramme | V:  Le diagnostic étiologique est effectué à des fins de recherche pour étudier l'étiologie de la pulpite. |   un diagnostic étiologique est systématiquement posé | V:  le diagnostic étiologique n'est pas nécessaire. |   l'antibiothérapie est un élément du traitement de la pulpite
QCM || Question 176 :  En ce qui concerne les infections périapicales, nous pouvons dire : ||   le diagnostic de ces infections est difficile car il s'agit d'infections profondes | V:  pendant ces infections, le pus s'accumule à l'apex de la dent. |   également appelée parodontite apicale chronique |   le traitement de ces infections n'est pas nécessairement nécessaire, le pus étant éliminé spontanément par fistulisation | V:  sont considérées comme des urgences dentaires | V: également appelés abcès apicaux ou dento-alvéolaires |   se produisent le plus souvent après un brossage brutal des dents | V:  correspond le plus souvent à la suite d'une carie profonde ou d'un traumatisme dentaire. |   l'infection entraîne une inflammation pulpaire secondaire à la multiplication bactérienne au niveau du biofilm dentaire | V:  la douleur et le gonflement peuvent être accompagnés de fièvre
QCM || Question 177 :  En ce qui concerne l'étiologie des abcès dento-alvéolaires, nous pouvons dire : || V:  les bactéries peuvent se déverser dans la circulation sanguine et provoquer une bactériémie ou une septicémie. |   La bactériémie est rare pour ce type d'infection. | V:  les formes graves d'abcès sont causées par des bactéries strictement anaérobies telles que Porphyromonas gingivalis, Porphyromonas endodontalis |   les bactéries ne peuvent pas migrer en profondeur car ce sont des bactéries pathogènes conditionnelles | V:  les bactéries peuvent migrer profondément dans l'os alvéolaire, provoquant une ostéite. |  sont des infections mixtes, principalement causées par des bactéries aérobies et facultatives | V:  sont des infections mixtes, principalement causées par des bactéries anaérobies |   sont des infections plurimicrobiennes causées par 5 à 10 espèces microbiennes. | V:  sont des infections plurimicrobiennes causées par 3-5 espèces microbiennes |   les formes graves d'abcès sont causées par des bactéries strictement anaérobies telles que les streptocoques buccaux.
QCM || Question 178 :  Le traitement des abcès périapicaux implique : ||   les antibiotiques de choix sont les pénicillines associées à la vancomycine | V:  dans la plupart des cas, le drainage chirurgical du pus est suffisant |   l'antibiothérapie est obligatoire dans toutes les formes d'abcès |   le drainage chirurgical du pus n'est pas nécessaire | V:  les antibiotiques de choix sont les pénicillines associées au métronidazole |  chez les patients allergiques aux pénicillines, d'autres bêta-lactamines sont administrées | V:  chez les patients allergiques à la pénicilline, il faut administrer des macrolides ou de la clindamycine |   en cas d'échec thérapeutique, il faut suspecter la présence de bactéries productrices de bêta lactamase et administrer des macrolides | V:  dans les formes graves d'infection périapicale, l'antibiothérapie est obligatoire | V:  en cas d'échec thérapeutique, il faut suspecter la présence de bactéries productrices de bêta lactamases et administrer de l'amoxicilline + acide clavulanique
QCM || Question 179 :  On peut dire que les infections endodontiques secondaires: ||  les bactéries impliquées sont généralement des bactéries strictement anaérobies. |  sont des infections mixtes causées par 4-5 espèces microbiennes | V:  sont impliquées 1-2 espèces bactériennes | V:  sont principalement causées par l'utilisation d'instruments non stériles |  sont des infections produites par les mêmes bactéries que celles qui causent la pulpite primaire. | V: des micro-organismes pénètrent dans les canaux radiculaires pendant le traitement, entre les rendez-vous ou après la fin du traitement endodontique |  les bactéries impliquées dans les infections secondaires sont des bactéries sensibles au traitement endodontique secondaire | peut survivre à un traitement endodontique et aux antiseptiques pour canaux radiculaires | V:  sont des infections produites par des micro-organismes autres que ceux qui ont causé l'infection primaire | V:  Les bactéries facultatives ou microaérophiles sont généralement impliquées.
QCM || Question 180 :  En ce qui concerne la candidature orale, nous pouvons dire : || V:  ces infections surviennent fréquemment chez les patients soumis à une antibiothérapie à large spectre | V:  sont des infections fongiques | V:  sont des dysbioses du microbiote oral | V:  sont causées par des levures du genre Candida. |   le traitement chirurgical est le traitement de choix |  causée par des bactéries du genre Candida |   sont des infections bactériennes |   les dérivés du métronidazole sont utilisés dans le traitement de la candidose | V:  les dérivés de l'imidazole sont utilisés dans le traitement de la candidose |   ces infections surviennent fréquemment chez les patients sous traitement antiacide
QCM || Question 181 :  Les formes cliniques de la candidose orale sont : ||   candidose séreuse | V:  candidose atrophique aiguë | V:  candidose pseudo-membraneuse | V:  candidose hyperplasique aiguë |   angine de poitrine candidosique |   angine de poitrine blanc | V:  chéilite angulaire |   candidose nécrotique aiguë | V:    glossitis médiane |    candidose algique aigue
QCM || Question 182 :  Les espèces de Candida impliquées dans les infections buccales peuvent être : || V:  C tropicalis | V:  C albicans |  C perfringens |   C saprophyticus | V:  C parapsilosis |   C aureus |   C diphtheriae | V:  C krusei |     C tetani | V:   C glabrata
QCM || Question 183 :  Les facteurs favorisant l'apparition de la candidose sont les suivants : || V:  corticothérapie |  brossage agressif des dents | V:  prothèses totales |  appareils orthodontiques |   traitements immunomodulateurs |  chirurgie orale | V:  les traitements immunosuppresseurs | V:  antibiothérapie à large spectre | V:    une mauvaise hygiène buccale |    médicament anti-inflammatoire
QCM || Question 184 :  Chez les patients porteurs de prothèses, la candidose est plus fréquente car: ||   la flore bactérienne de ces patients disparaît |  les personnes âgées peuvent avoir une mauvaise hygiène buccale | V:  les levures sont dominantes dans la flore buccale des prothèses dentaires |   les bactéries anaérobies favorisent la colonisation des levures |  il s'agit de patients présentant une immunodépression physiologique | V:  les prothèses dentaires sont normalement colonisées par des levures | V:  la prothèse empêche les mécanismes de nettoyage physiologique |   il s'agit généralement de patients âgés | V:  la prothèse peut être une source d'infection |   la fréquence des candidoses augmente directement avec l'âge
QCM || Question 185 :  En ce qui concerne le diagnostic étiologique dans la candidose, nous pouvons affirmer : || V:  la culture permet d'isoler et d'identifier les levures jusqu'au niveau de l'espèce |   le produit pathologique recommandé est le pus de la lésion | V:  il est indiqué dans toutes les formes de candidose |   l'examen microscopique permet de tester la sensibilité aux antibiotiques des levures | V:  le produit pathologique recommandé est le produit de grattage de la lésion |  pas nécessaire |   pas systématiquement |   les levures sont des espèces non cultivables | V:  l'examen microscopique permet de détecter les levures | V:  vise à isoler et à identifier les levures
QCM || Question 186 :   Au sujet de la périimplantite, nous pouvons dire : || V:  les agents pathogènes qui causent l'implantite sont les mêmes que ceux qui causent la maladie parodontale |   les propriétés de l'implant et la technique chirurgicale sont déterminantes dans l'apparition de la péri-implantite |   pour prévenir les péri-implantites, la procédure est effectuée immédiatement après l'extraction. | V:  l'implant dentaire présente une biomécanique et une chimiotactique cellulaire différentes de celles de la dent naturelle |   l'échec précoce des implants est dû au dépôt de tartre | V: les antibiotiques ne sont pas indiqués pour le traitement de la péri-implantite |   le biofilm dentaire est identique au biofilm qui se forme sur les matériaux des implants | V:  elle représente la destruction des tissus de soutien de l'implant due à une cause infectieuse | V:  l'échec précoce des implants est généralement dû à la chirurgie |   représente la destruction mécanique des tissus de soutien de l'implant
QCM || Question 187 :  Les lésions qui peuvent survenir dans une candidose buccale peuvent être : ||  écoulement purulent de la lésion | V:  érythème et atrophie de la muqueuse palatine | V:  fissures commissurales |   dépôts bruns-cénus sur les muqueuses buccales |  les lésions se propagent de manière systémique dans la plupart des cas | V:  érythème et dépilation de la langue | V:  dépôts blanchâtres sur la muqueuse buccale (linguale, jugale, palatine) | V: érythème et œdème des muqueuses en contact avec la prothèse |   œdème et nécrose de la mycose affectée |   les lésions sont généralement uniques
QCM || Question 188 :  Les substances antimicrobiennes suivantes ont une activité antifongique : ||   nitrofurantoïne | V: itraconazole |   aztréonam |   fongistop |   métronidazole | V:  nystatine | V:  kétoconazole | V:  fluconazole |  pénicilline | V:  amphotéricine B
QCM || Question 189 :  Le traitement de la candidose buccale comprend : ||   utilisation du glutaraldéhyde pour la décontamination des prothèses dentaires | V:  l'adaptation correcte des prothèses totales | V: une très bonne hygiène buccale |  l'administration d'antibiotiques à activité antifongique | V:  traitement antifongique | V:  décontamination correcte des prothèses amovibles |  retrait des prothèses dentaires et implantation obligatoire |  brossage professionnel des prothèses dentaires avec des pâtes antifongiques |     utilisation de prothèses antifongiques | V:  l'arrêt de l'antibiothérapie ou l'utilisation d'antibiotiques à faible spectre (restreints)
QCM || Question 190 :  Les abcès des loci maxillo-faciaux superficiels peuvent être localisés : ||   Latéropharyngeal |   Pariétal | V:  Lingual | V:  Sublingual | V:  Submandibulaire | V:  Submental |   Vestibulaire |   Ptérygoïdal | V:    Masséterine, gingivale, parotide ou temporale |    Infratemporal
QCM || Question 191 :  Les infections suivantes sont localise au niveau de la peau et des tissus mous de la bouche: ||   Erysipèle | V: Abcès des loges profonds | V: Abcès périostés | V: Abcès des loges superficiels |   Impétigo | V: Phlegmon diffus du plancher buccal |   Furuncle |   Folliculite du visage | V:  Phlegmon hémifacial diffus |   Furoncle de l'anthracoïde
QCM || Question 192 :  A propos des furoncles sur le visage, on peut dire : ||   Le furoncle de l'anthracoïde est également appelé érysipèle. | V:  Son incidence est maximale chez les adultes et les jeunes. | V: Elles surviennent le plus souvent dans des conditions d'immunosuppression, de diabète, de mauvaise hygiène... |  Est causée par S. pyogenes | V: Elle est causée par S. aureus |  Est causé par S. agalactiae |   Est causée par S. mutans | V: Les furoncles de la région supracommissurale peuvent avoir une évolution grave, ils peuvent se compliquer d'une thrombophlébite du sinus caverneux (appelée staphylococcie maligne de la face). | V:   Furoncle anthracoïde (escarboucle), se développant le plus souvent dans la région graisseuse du céphalique (il s'agit d'un regroupement de furoncles à différents stades). |   La thrombophlébite du sinus caverneux est également appelée staphylocoque bénin du visage.
QCM || Question 193 :  A propos des antibiotiques anti-staphylococciques, utiles dans les infections des tissus mous, nous pouvons dire : || V:  Pour les souches sensibles à la méthicilline, on peut utiliser comme alternative les céphalosporines (gen I, gen II). |  Pour les souches résistantes à la méthicilline, l'oxacinlin (en première intention) ou les macrolides (en alternative) peuvent être utilisés. | V:  Pour les souches sensibles à la méthicilline, l'oxacilline, la cloxacilline, la dicloxacilline peuvent être utilisées comme traitement de première intention. | V:  Pour les souches non productrices de pénicillinase, comme l'antibiotique de Penicilline G | V:  Pour les souches sensibles à la méthicilline, on peut utiliser en alternative les macrolides ou les lincosamides. | pénicilline G |   Pour les souches résistantes à la méthicilline, la cloxacinlin (en première intention) ou les lincosamides (en alternative) peuvent être utilisés. |   Pour les souches résistantes à la méthicilline, la dicloxacinlin (en première intention) ou les céphalosporines de type II (en alternative) peuvent être utilisées. | V:  Pour les souches résistantes à la méthicilline, on peut utiliser la vancomycine (en première intention) ou la teicoplanine (comme alternative). |   Pour les souches non productrices de pénicillinase, comme l'antibiotique de Penicilline G (doublon)
QCM || Question 194 :  A propos de l'érysipèle, nous pouvons dire : ||   Le traitement de choix est l'érythromycine, dose standard, 3 jours. | V:  Elle est fréquemment localisée sur le visage |   Elle est localisée au visage et ne se manifeste jamais dans d'autres parties du corps. |   Est causée par S. aureus |   Le traitement de choix est la vancomycine, dose standard, 10 jours. |  Le traitement de choix est la pénicilline G, dose standard, 3 jours. | V:  Elle est causée par S. pyogenes | V:  Le traitement de choix est la pénicilline G, dose standard, 10 jours. | V:  L'erysopyélite "en papillon", se produit dans un hémiface, puis attrape le nez et s'étend au côté opposé ou à d'autres régions (elle peut aussi être localisée dans les membres infectés). | V:  Il s'agit d'une dermatite, c'est-à-dire d'une plaque congestive aux bords bien définis.
QCM || Question 195 :  En ce qui concerne la cellulite, on peut dire : ||   Les formes légères et modérées de cellulite streptococcique sont traitées par la pénicilline G + clindamycine. |   Pour les cellulites d'autres étiologies (autres que streptococciques ou staphylococciques), on administre de la colistine. |   Peut être causé par S. oralis | V:  Peut être causé, très rarement, par des bactéries anaérobies non sporulées. | V:  Peut être causé par S. aureus | V: Il s'agit d'une infection du tégument qui touche également le tissu cellulaire sous-cutané. | V:  Peut être causé par S. pyogens |   Pour le traitement des formes agressives de cellulite streptococcique, seule la pénicilline G est administrée. |   Peut être causé par S. epidermidis | V:  Elle commence par des infections cutanées superficielles ou des traumatismes.
QCM || Question 196 :  Il peut y avoir des infections des os de la mâchoire.: ||   Ostéite chronique également appelée ostéite périorale |   Ostéite chronique également appelée ostéite non suppurative | V:  Ostéite chronique (également appelée ostéite sclérosante) |  Ostéite chronique également appelée ostéite calcarienne | V:  Ostéomyélite chronique non suppurative (Guillion-Barre) | V: Ostéomyélite aiguë de l'adulte |  Ostéomyélite des os de la mâchoire | V:  Ostéomyélite néo-natale |   Ostéite chronique également appelée ostéite péridurale | V:  Ostéite suppurative aiguë
QCM || Question 197 :  A propos de l'ostéite des os maxillaires, on peut dire : || V:  Il s'agit d'une infection mixte dans laquelle des bacilles gram-négatifs tels que Klebsiella, Proteus, Pseudomonas aeruginosa, Enterobacter peuvent être impliqués comme étiologie. |   Il s'agit d'une infection mixte dans laquelle le Porphyromonas peut être impliqué comme étiologie, en particulier lorsqu'une fracture ouverte est la source de l'infection. |   L'un des facteurs est la maladie de Paget, qui est une maladie aiguë favorisant une croissance anormale des os. |   C'est une infection mixte dans laquelle les bactéries anaérobies telles que : Proteus, Pseudomonas aeruginosa, Enterobacter | V:  Comme facteurs prédisposants, on peut citer : l'irradiation, l'ostéoporose, la maladie de Paget ; un diabète sucré déséquilibré ; la leucémie ; l'alcoolisme chronique ; la malnutrition. | V: Il s'agit d'une infection mixte dans laquelle des bactéries anaérobies telles que Prevotella, Porphyromonas ou Bacteroides peuvent être impliquées comme étiologie. |   Il s'agit d'une infection mixte dans laquelle Prevotella peut être impliquée comme étiologie, en particulier lorsqu'une fracture ouverte est la source de l'infection. |   Il s'agit d'une infection mixte dans laquelle les Bacteroides peuvent être impliqués comme étiologie, en particulier lorsqu'une fracture ouverte est la source de l'infection. | V:  Il s'agit d'une infection mixte dans laquelle les streptocoques bêta-hémolytiques peuvent être impliqués comme étiologie. | V:  Il s'agit d'une infection mixte dans laquelle S. aureus peut être impliqué comme étiologie, en particulier lorsqu'une fracture ouverte est la source de l'infection.
QCM || Question 198 :  Dans le traitement de l'ostéomyélite de lʼos de la mâchoire, nous pouvons utiliser : || V:  En cas de bacilles gram-négatifs anaérobies facultatifs : ampicilline, céfazoline, céfuroxime ou ciprofloxacine. | V:  Si Eikenella corrodens est isolé : tétracycline, pénicilline G, ampicilline, céphalosporines de 3ème génération. |   Si Pseudomonas aeruginosa est isolé : teicoplanine, dalbavacine, oritavancine | V:  Si Pseudomonas aeruginosa est isolé : pipéracilline, ceftazidime, aztréonam, fluoroquinolone, tobramycine. |   Si Pseudomonas aeruginosa est isolé : métronidazole ou clindamycine | V: Si S. aureus est en cause : oxacilline ou vancomycine pour les souches résistantes à la méthicilline. |   En cas de bactéries anaérobies : tétracycline, pénicilline G, ampicilline. | V:  Si des bactéries anaérobies sont en cause : métronidazole ou clindamycine |   Si S. aureus est en cause : colistine |   Si Eikenella corrodens est isolé : vancomycine
