QCM || Question 1 :   La sémiologie médicale est la partie de la médecine qui étudie : ||   La biologie cellulaire |   Les traitements | V:  Les symptômes | V:  La façon de les relever par des examens complémentaires |   Les maladies |   Lʼanatomie humaine | V:  Les signes | V:  La façon de relever les signes et les symptômes par examen clinique, | V:  La façon de relever les signes et les symptômes par interrogatoire |   La physiopathologie des maladies
QCM || Question 115 :    Les suivantes sont vraies concernant la sémiologie des douleurs abdominales : || V:  La durée de plusieurs heures est spécifique pour une colique abdominale | V:  Dans les conditions abdominales graves, l'intensité est souvent augmentée | V:  Dans la colique biliaire, l'irradiation est fréquente au niveau de l'épaule droite |   Une anamnèse détaillée nʼa aucune valeur pour établir un diagnostic |   Dans l'ulcère duodénal, l'irradiation est fréquente au niveau de la fosse iliaque droite |   La localisation de la douleur nʼa aucune importance pour établir l'organe affecté | V:  La localisation de la douleur nous donne des informations sur l'organe affecté | V:  Une anamnèse complète et approfondie de la douleur est importante pour établir un diagnostic précis |   Dans la colique biliaire, l'irradiation est fréquente au niveau de l'épaule gauche |   La douleur abdominale ne peut pas traduire une maladie digestive sévère
QCM || Question 116 :     Les suivantes sont vraies concernant l'hématémèse : ||   Il n'est pas possible de faire un diagnostic différentiel avec une épistaxis de déglutition |   La formule sanguine n'est pas réalisée en cas d'hématémèse | V:  Elle peut être associée à des douleurs abdominales, des nausées et des vomissements | V:  A l'examen clinique objectif, la pâleur des téguments et des muqueuses peut être mise en | V:  Elle peut être retrouvé après la consommation d’anti-inflammatoires |   L'endoscopie digestive basse est l'examen le plus important | V:  L'hématémèse est différente de l'hémoptysie, qui représente du sang rouge aéré expulsé par la toux | V:  Elle présente sous la forme de vomissements avec du sang |   C'est l'expression d'une hémorragie digestive basse |   Il représente l'expulsion du sang rouge aéré, par la toux
QCM || Question 117 :     Parmi les causes d'hématémèse on peut trouver : || V:  Ulcère gastrique |   L'asthme bronchique |   Goutte |   Diverticule colique | V:  Cancer de l'estomac | V:  Cancer œsophagien | V:  Ulcère duodénal |   Cancer du colon |   Otite | V:  Varices œsophagiennes
QCM || Question 118 :     Au niveau de l'hypocondre droit on trouve : || V:  La vésicule biliaire | V:  Le rein droit |   Le côlon sigmoïde | V:  Le foie |   Le rein gauche | V:  Le duodénum |   Lʼutérus |   Le pancréas |   La rate | V:  Lʼangle droit du colon
QCM || Question 119 :     Au niveau de l'hypochondre gauche on trouve : || V:  La rate | V:  La queue de pancréas |   La grande masse de l'intestin grêle |   La vésicule biliaire | V:  La grande tubérosité gastrique |   Le colon sigmoïde |   La prostate | V:  L'angle gauche du côlon | V:  Le rein gauche |   Le rein droit
QCM || Question 120 :     Topographie de l'abdomen : || V:  La division topographique de l'abdomen nous aide à localiser les modifications constatées à lʼexamen objectif |   Le flanc gauche comprend le lobe droit du foie et la vésicule biliaire |   La division est faite par 3 lignes verticales et 2 horizontales | V:  La division est faite par 2 lignes verticales et 2 lignes horizontales |   Lʼabdomen est divisé en 3 zones topographiques | V:  Au niveau de la fosse iliaque gauche, on trouve le côlon sigmoïde |   Le pancréas est situé au niveau de l'hypogastre |   La division est faite par une ligne horizontale et une ligne verticale | V:  L'abdomen Superior comprend: l'hypochondre droit, l'hypochondre gauche et l'épigastre | V:  Il est divisé en 9 zones topographiques
QCM || Question 121 :     À propos du syndrome ulcéreux : || V:  L'incidence est significativement plus élevée chez les patients du groupe sanguin 0 (I) | V:  Le terme ulcère gastrique ou duodénal désigne l'existence d'une ulcération |   Il représente une perte de substance qui ne concerne pas la muqueuse et les muscles de l'estomac ou du duodénum |   Le facteur héréditaire n'est pas impliqué dans la pathologie ulcéreuse |   L'incidence est significativement plus faible chez les patients du groupe 0 (I) | V:  Il est synonyme d'ulcère peptique |   La constipation est le symptôme cardinal | V:  Il existe des preuves liées à l'hérédité de l'ulcère duodénal | V:  Elle représente une perte de substance qui affecte les muqueuses et muqueuses de la muqueuse gastrique ou duodénale |   Le stress mental et physique, les anti-inflammatoires sont des facteurs d'atténuation du syndrome ulcéreux
QCM || Question 122 :     La douleur dans le syndrome de l'ulcère : || V:  L'apparition de douleurs à un certain intervalle après le repas est une caractéristique importante du syndrome ulcéreux |   La constipation survient dans la grande majorité des cas d'ulcère gastrique | V:  L'intensité peut être sous la forme d'une crampe |   A l'examen clinique objectif, il existe une sensibilité à la palpation de l'hypogastre | V:  Après l'installation d'une hémorragie digestive, la douleur ulcéreuse ne s'atténue pas | V:  Elle est présente dans presque tous les cas | V:  L'intensité peut être sous la forme d'une brûlure |   La douleur est diminue quand lʼulcère se complique avec la perforation |   La douleur ne survient pas chez les patients avec ulcère |   Après l'installation d'une hémorragie digestive, la douleur ulcéreuse disparaît
QCM || Question 123 :     Concernant la dysphagie, on peut dire que : ||   Selon le siège, elle est classée en dysphagie oropharyngée, de transport, œsogastrique | V:  Selon la localisation, il existe 2 classifications : transport et œsogastrique | V:  La cause de la dysphagie peut être évaluée par un examen radiologique baryté |   La dysphagie Lusoria désigne une compression de l'œsophage par le liquide pleural | V:  La cause peut être évaluée par endoscopie digestive haute | V:  On peut avoir un blocage complet et ou incomplet |   Elle est toujours incomplète | V:  Elle apparaît pour les aliments liquides et solides |   Elle n'apparaît que pour les liquides |   Si elle est installée brutalement et est associée à une perte de poids importante, on pense à une maladie de reflux gastro oesophagien
QCM || Question 124 :     Les suivantes sont vraies lié à l'examen du pharynx : ||   L'angine ulcéreuse est une variante plus légère de l'angine érythémateuse | V:  L'angine ulcéreuse comprend des ulcères ovales superficiels sur les amygdales (fièvre typhoïde) |   L'angine érythémateuse représente la présence de fausses membranes gris-blanches (scarlatine, couleurs primaires et secondaires) | V:  L'angine pultacée est une variante plus sévère de l'érythémateuse, elle peut être cryptique et folliculaire |   L'angine pultacée représente une rougeur de l'oropharynx et des amygdales hypertrophiques | V:  L'angine pseudo-membraneuse représente la présence de fausses membranes gris-blanc (scarlatine, lueurs primaires et secondaires) | V:  L'angine érythémateuse représente une rougeur de l'oropharynx et des amygdales hypertrophiques (infection par le streptocoque bêta-hémolytique) |   L'angine herpétique comprend des ulcères ovales superficiels sur les amygdales (fièvre typhoïde) | V:  L'angine herpétique est représenté par de nombreuses vésicules herpétiques au niveau de l'oropharynx |   L'angine nécrotique est représentée par de nombreuses vésicules herpétiques au niveau de l'oropharynx
QCM || Question 125 :     La nausée: ||   Elle ne s'accompagne jamais de vomissements | V:  Elle représente un sentiment de répulsion de la nourriture |   Il n'apparaît que dans les troubles digestifs |   C'est le symptôme cardinal du reflux gastro-œsophagien | V:  Elle peut aussi être déclenchée par un mécanisme purement psychologique |   Il peut être déclenché par la palpation abdominale | V:  Il peut apparaître dans la plupart de maladies digestives |   Elle précède la régurgitation | V:  Elle peut précéder les vomissements | V:  Elle se traduit par le besoin de vomir, ressenti au niveau du pharynx ou de l'épigastre
QCM || Question 126 :     Flatulences abdominales : || V:  Elle peut être localisée ou généralisée |   Il ne représente pas une cause d'augmentation de volume de l'abdomen |   Il ne peut pas être généralisé |   Il peut apparaître seulement à jeun | V:  L'intensité peut être légère, modérée et intense | V:  A l'inspection, on peut voir l'augmentation de volume de l'abdomen |   A lʼauscultation de l'abdomen, on constate un silence absolu | V:  Elle représente l'augmentation du volume gazeux du tube digestif | V:  Elle peut apparaître post prandiale (précoce et tardive) ou permanente |   A la percussion de l'abdomen, le tympanisme n'apparaît pas
QCM || Question 127 :     La palpation profonde de l'abdomen : ||   La position du patient sera en décubitus latéral droit |   Le foie ne peut jamais être palpé | V:  La palpation profonde se fait doucement, progressivement | V:  Nous donne des informations sur les organes intra-abdominaux | V:  Elle se pratique après la palpation superficielle |   On obtient des informations sur l'état de la paroi abdominale | V:  Normalement, la rate nʼest pas palpable | V:  Dans des conditions pathologiques, on peut détecter des tumeurs intra-abdominales |   Les formations tumorales ne peuvent pas être mises en évidence par une palpation profonde |   Normalement on peut sentir la rate
QCM || Question 128 :     En ce qui concerne le reflux gastro-oesophagien, nous pouvons dire: || V:  Des régurgitations acide sont possible | V:  Lʼexamen objectif est normal |   La douleur précordiale est le symptôme cardinal | V:  Un facteur favorable peut être lʼobésité |   À lʼinspection du thorax, nous rencontrons emphysème thorax | V:  Cʼest un trouble digestif fréquent | V:  Le pyrosis est présent |   Il ne vient jamais après les repas ou après lʼingestion de liquides chauds |   Il y a souvent des lombalgies |   Cʼest une condition digestive rare
QCM || Question 129 :     On peut dire à propos de la palpation du foie: ||   Augmentation du volume hépatique (hépatomégalie) en cas de cirrhose atrophique | V:  La surface du foie est lisse et régulière dans un état normal |   La surface du foie est lisse et régulière dans la cirrhose du foie |   La consistance du foie est molle dans la cirrhose du foie |   La consistance du foie est dure dans la dégénérescence graisseuse | V:  La consistance du foie est dure dans la cirrhose du foie | V:  La surface est irrégulière dans la cirrhose du foie | V:  La consistance du foie est mou dans la dégénérescence graisseuse |   La surface est irrégulière dans le foie normal | V:  Augmentation du volume hépatique (hépatomégalie) dans la cirrhose du foie
QCM || Question 130 :     Concernant les symptômes digestifs, il est vrai que : ||   La rumination est secondaire à l'augmentation de la quantité d'air dans l'estomac |   La régurgitation représente la sensation douloureuse de brûlure rétrosternale | V:  La régurgitation est le reflux de nourriture de l'œsophage ou de l'estomac dans la bouche | V:  Lʼéructation survient suite à l'augmentation de la quantité d'air dans l'estomac (aérophagie, sténose pylorique) | V:  Lʼéructation est l'élimination des gaz dans la bouche |   La régurgitation est précédée de nausées |   La flatulence c'est mâcher le contenu régurgité |   La rumination est l'élimination des gaz dans la bouche | V:  La rumination consiste à mâcher le contenu régurgité et à l'avaler à nouveau | V:  La régurgitation n'est pas accompagnée de nausées
QCM || Question 131 :     Le reflux gastro-œsophagien: || V:  La prévalence la plus élevée est chez les femmes |   Le diagnostic ne peut être établi que cliniquement | V:  La cause la plus fréquente est une hernie hiatale |   Les tumeurs abdominales géantes ne peuvent pas provoquer de reflux gastro-oesophagien |   La prévalence augmente avec l'âge | V:  Il présente des symptômes typiques et atypiques |   Le tabagisme n'est pas un facteur de risque de reflux gastro-oesophagien | V:  Toute augmentation de la pression intra-abdominale peut provoquer un reflux |   La prévalence est plus élevée chez les hommes | V:  Il survient le plus souvent chez les enfants et les jeunes
QCM || Question 132 :     Parmi les symptômes typiques du reflux gastro-oesophagien, on retrouve : || V:  Les éructations |   Lʼodynophagie |   Sialorrhée | V:  Les régurgitations acides |   Laryngospasme | V:  La toux | V:  Le pyrosis | V:  Brûlures de la muqueuse buccale |   Lʼabcès pulmonaire |   Douleur cervicale
QCM || Question 133 :     Parmi les symptômes atypiques (extra-oesophagiens) du reflux gastro-oesophagien, on trouve : ||   La dysphagie |   La régurgitation alcaline | V:  La dysphonie |   La régurgitation acide |   La nausée | V:  La gingivite | V:  Les érosions dentaire | V:  La sensation de corps étranger | V:  La douleur thoracique non cardiaque |   Le vomissement
QCM || Question 134 :     Dans le reflux gastro-oesophagien : ||   L'existence d'une hernie hiatale ne peut pas être mise en évidence à l'examen radiologique baryté |   Les symptômes atypiques sont représentés par des éructations et une sialorrhée | V:  Les symptômes d'alarme sont la perte de poids | V:  Les symptômes dus aux complications du reflux sont représentés par la dysphagie |   La dysphagie et la perte de poids ne nécessitent pas d'endoscopie digestive haute |   La toux n'apparaît pas comme un symptôme atypique du reflux gastro-oesophagien | V:  Le pyrosis et les régurgitations acides sont des symptômes typiques de cette affection |   L'examen radiologique baryté n'est pas réalisé en présence de dysphagie | V:  La surveillance du pH œsophagien est utile pour le diagnostic | V:  L'endoscopie digestive haute est indiquée pour tous les sujets qui présentent des symptômes d'alarme
QCM || Question 135 :     Les troubles mictionnelle sont: || V:  Dysurie | V:  Pollakiurie |   Perte de poids |   Polyurie |   Insuffisance rénale | V:  Miction impérieuse | V:  Douleur à la miction |   Polyphagie | V:  Pseudo-pollakiurie |   Polydipsie
QCM || Question 136 :     Les troubles de la diurèse: || V:  Polyurie |   Pollakiurie |   Miction impérieuse |   Dysurie | V:  Anurie |   Polyphagie | V:  Nycturie |   Douleurs a la miction | V:  Oligo-anurie | V:  Ils peuvent être accompagnés de symptômes généraux
QCM || Question 137 :     Lʼexamen de lʼappareille urinaire : || V:  Il peut être utilisé chez tous les patients |   Cʼest un manœuvre objectif de lʼexamen |   Ça peut être un symptôme urinaire | V:  Il se compose souvent de palpation et de percussion | V:  Cʼest une méthode exploratoire |   Cʼest un examen dʼurine | V:  Il est utilisé régulièrement pour les maladies rénales |   Cʼest un trouble de miction | V:  Se réfère à toutes les régions du système urinaire |   Il est utilisé pour lʼappareil cardiovasculaire
QCM || Question 138 :     LʼUroculture représente: || V:  Une méthode dʼinvestigation de la dysurie |   Un symptôme |   Un signe | V:  Peut dépister la présence dʼune infection urinaire | V:  Une exploration de lʼappareil rénal | V:  Une analyse microbiologie de laboratoire | V:  Culture et analyse des preuves dʼurine |   Augmentation de la glycémie sanguine |   Une variante de position |   Un trouble psychique
QCM || Question 139 :     Exploration complémentaire de lʼappareil rénal : || V:  Echographie pelvienne | V:  Examen biochimique sanguin | V:  Analyse microbiologique |   Electrocardiographie |   Echographie cardiaque | V:  Examen biochimique urinaire | V:  Scanner |   Inspection des globes oculaires |   Mesure du pli cutané |   Récolte de tissu
QCM || Question 140 :     La colique rénale a les caractéristiques suivantes ||   Résolution au Salbutamol |   Précipité par les vibrations, les ondes du choc | V:  Résolution aux médicamentes antispasmodiques |   Résolution aux antiacides | V:  Précipité dʼaliments acides | V:  La douleur est fréquemment sévère |   Douleur dans lʼhypocondre |   Précipité dʼaliment riche en gras | V:  Douleur dans la région lombaire
QCM || Question 141 :    Symptômes et signes végétatifs associés aux coliques rénales sont: || V:  Tachycardie |   Râles sifflants |   Toux |   Frottement pleurale |   Expectoration sanguinolente | V:  Vomissement | V:  Nausées | V:  Transpiration | V:  Hypotension artérielle |   Frottement péricardique
QCM || Question 142 :     La polyurie est un symptôme de: || V:  Diabète insipide |   Ulcère duodénal |   Vésicule biliaire |   Insuffisance cardiaque | V:  Consommation excessive dʼalcool, de café | V:  Diabète sucré |   Cirrhose du foie | V:  Insuffisance rénale chronique au début |   Cholécystite aiguë | V:  Hypercalcémie
QCM || Question 143 :     Lʼoligurie est un symptôme de : || V:  Septicémie |   Cancer gastrique | V:  Stades terminaux de lʼinsuffisance rénale chronique |   Hépatite chronique |   Reflux gastro-œsophagien | V:  Administration de médicaments néphrotoxiques | V:  Utilisation de substances radio-opaques |   Bronchite chronique | V:  Insuffisance cardiaque |   Emphysème pulmonaire
QCM || Question 144 :     Lʼanurie est un symptôme de : || V:  Insuffisance cardiaque |   Cancer du poumon |   Péricardite | V:  Administration de médicaments néphrotoxiques | V:  Utilisation de substances radio-opaques | V:  Septicémie |   Insuffisance respiratoire |   Cancer du côlon | V:  Stades terminaux de lʼinsuffisance rénale chronique |   Infarctus aigu du myocarde
QCM || Question 145 :     La nycturie est un symptôme de : : ||   Cancer gastrique | V:  Infections urinaires | V:  Cancer de la prostate | V:  Tumeur bénigne de la prostate |   Emphysème pulmonaire |   Cancer de lʼœsophage |   Asthme bronchique | V:  Insuffisance cardiaque |   Cancer du foie | V:  Diabète sucré
QCM || Question 146 :     La pollakiurie est un symptôme de: ||   Occlusion intestinale | V:  Tumeur maligne de la prostate |   Vésicule biliaire | V:  Tumeur bénigne de la prostate | V:  Lithiase vésicale |   Cirrhose du foie |   Cancer gastrique | V:  Enceinte dans le troisième trimestre | V:  Infections urinaires |   Péritonite
QCM || Question 147 :     La dysurie est un symptôme de : ||   Maladie hémorroïdaire |   Cancer du poumon | V:  Infections urinaires |   Hépatite chronique | V:  Sténose urétrale | V:  Infections génitales | V:  Prostatite | V:  Lithiase rénale |   Cancer du foie |   Tuberculose pulmonaire
QCM || Question 148 :     Lʼincontinence urinaire est un symptôme de : || V:  Infections urinaires bas |   Médicaments psychiatriques, hypnotique |   Cirrhose du foie | V:  Troubles neurologiques |   Bronchite chronique | V:  Lithiase rénale |   Vésicule biliaire |   Péritonite | V:  Adénome péri urétral | V:  Ménopause
QCM || Question 149 :     La rétention dʼurine est un symptôme de : ||   Bronchite chronique | V:  Cancer de la prostate | V:  Tumeur urétrale |   Ulcère gastrique |   Cancer de lʼœsophage | V:  Médicaments psychiatriques (antidépresseurs, antipsychotiques) |   Cancer rénal |   Hépatite chronique | V:  Tumeur bénigne de la prostate | V:  Prostatite
QCM || Question 150 :     Lʼhématurie est un symptôme de : ||   Hépatite chronique | V:  Tuberculose urinaire | V:  Lithiase rénale |   Ulcère duodénal | V:  Tumeurs des reins ou des voies urinaires | V:  Cystite hémorragique | V:  Glomérulonéphrite |   Hypertension artérielle |   Angine de poitrine |   Vésicule biliaire
QCM || Question 151 :     Les énoncés suivants sont vrais au sujet de la palpation des reins: ||   Il nʼest pas nécessaire dʼeffectuer un examen orthostatique |   Lʼexamen du décubitus dorsal est suffisant |   La palpation est effectuée avec les deux mains placées dans lʼhypochondre | V:  Entre les 2 mains qui font la palpation vous pouvez sentir le pôle inférieur du rein ou le rein entier | V:  La main droite se pose sous le rebord côtier | V:  Combiner la méthode de la palpation avec la percussion pour un résultat correct |   Normalement, les reins sont palpés à lʼexamen objectif |   La palpation se fait en décubitus dorsal et ensuite en orthostatisme, pour la ptose rénale | V:  La main gauche se pose dans la région lombaire | V:  La palpation est bi-manuelle
QCM || Question 152 :     La palpation des reins est positive dans : : || V:  Pionéphrose | V:  Rein poly kystique |   Angine de poitrine |   Insuffisance hépatique | V:  Hydronéphrose | V:  Ptose rénale | V:  Tumeurs rénales |   Fibrillation auriculaire |   Hypertension artérielle |   Insuffisance cardiaque
QCM || Question 153 :     Ce qui suit est vrai de la manœuvre de Giordano: ||   Utiliser lʼauscultation comme méthode dʼexamen |   Utiliser la palpation comme méthode dʼexamen | V:  Il est positif dans la lithiase rénale |   Il sʼadresse au système digestif | V:  Si le patient a une lithiase rénale, la manœuvre de Giordano est suivie par lʼapparition de la douleur | V:  Il sʼadresse au système urinaire | V:  Utiliser la percussion comme méthode dʼexamen |   Dans la région de lʼhypochondre, il est percuté avec le bord cubital de la main |   Il est positif en lithiase biliaire | V:  Dans la région lombaire, le médecin percute avec le bord cubital de la main
QCM || Question 154 :     Lʼanalyse dʼurine en laboratoire est pathologique si : || V:  Il présente des cylindres | V:  Lʼuroculture est positif | V:  Le glucose est présent |   Protéinurie inférieure à 100 mg/l |   La valeur de la protéinurie est dessous de 75 mg/l |   Lʼaspect est claire | V:  Il y a des corps cétoniques |   Protéinurie inférieure à 50 mg/l |   Protéinurie inférieure à 150 mg/l | V:  Il existe protéinurie plus de 150mg/l
QCM || Question 155 :     La rétention urinaire avec globe vésical est due à: ||   Cirrhose du foie | V:  Tumeurs urétrales bénignes, obstructives | V:  Compression pelvienne par le fécalome |   Occlusion intestinale | V:  Tumeurs malignes obstructives urétrales | V:  Lésion neurologique |   Cancer du côlon | V:  Obstruction urétrale par calculs |   Péritonite |   La lithiase biliaire
QCM || Question 156 :     Le syndrome néphrétique présente les symptômes et les signes suivants : || V:  Œdème rénal |   Œdème de Quincke |   Dysurie |   Pollakiurie |   Œdème cardiaque |   Œdème inflammatoire | V:  Lʼoligurie | V:  Symptômes de la maladie causale | V:  Hématurie macroscopique | V:  Tension artérielle élevée
QCM || Question 157 :     La pyélonéphrite aiguë, syndrome interstitiel rénal le plus fréquent, présente les symptômes suivants : ||   Mélaena |   Hématémèse | V:  Frissons | V:  Pollakiurie (initiale) |   Hémoptysie |   Rectoragie |   Gingivorragie | V:  Dysurie (initiale) | V:  Fièvre | V:  Lombalgie
QCM || Question 158 :     Les complications de la lithiase rénale sont: ||   Infarctus du myocarde |   Angine de poitrine | V:  Septicémie |   Insuffisance cardiaque | V:  Hydronéphrose |   Cancer de la prostate | V:  Pyo néphrose | V:  Fosse septique |   Cancer du côlon | V:  Insuffisance rénale aiguë/chronique
QCM || Question 159 :     La rétention complète de lʼurine se caractérise par : ||   Elle peut être plus fréquente chez les races jaunes | V:  Cʼest un trouble de la miction | V:  Il est perçu comme une nécessité impérative de miction |   Cʼest un examen dʼurine | V:  Elle sʼaccompagne dʼagitation, de malaise |   Elle peut survenir dans les ulcères duodénaux |   Cʼest une inflammation du pharynx |   Représente une augmentation des enzymes hépatiques | V:  Lʼexamen objectif met en évidence la présence du globe vésical | V:  Elle est accompagnée de douleurs hypogastriques
QCM || Question 160 :     La douleur angineuse se caractérise par les éléments suivants: || V:  Elle disparaît ou diminue avec la nitroglycérine |   Elle est favorisée par les aliments en conserve |   Elle est favorisée par le régime végétarien |   La nitroglycérine est administrée par voie orale dans les crises d'angine |   La nitroglycérine est administrée par voie sous-cutanée dans l'angine de poitrine | V:  Elle disparaît ou diminue au repos | V:  Elle est favorisée par le stress émotionnel | V:  Elle dure quelques minutes, jusqu'à 10 minutes, jamais plus de 20 minutes |   La nitroglycérine est administrée par inhalateur dans les crises d'angine | V:  La nitroglycérine est administrée par voie sublinguale dans les crises d'angine
QCM || Question 161 :     La douleur angineuse a les caractéristiques suivantes: ||   Elle est précipitée par les aliments acides | V:  Irradiation atypique dans l'épigastre |   Irradiation atypique dans la région mésogastrique | V:  Irradiation atypique dans l'articulation scapulo-humérale droite | V:  Elle est précipitée par des repas copieux |   Elle est précipitée par les épices | V:  Irradiation atypique dans la mandibule | V:  Elle est précipitée par l'effort physique |   Irradiation atypique dans l'hypogastre |   Irradiation atypique dans la région lombaire gauche
QCM || Question 162 :     La douleur angineuse a les caractéristiques cliniques suivantes: ||   Irradiation typique dans le flanc gauche | V:  Irradiation typique dans l'articulation scapulo-humérale gauche |   Irradiation typique dans la fosse iliaque gauche | V:  Irradiation typique jusquʼaux derniers deux doigts de la main gauche |   Elle est située dans l'hypochondre droit |   Siège dans la colonne lombaire |   Irradiation typique dans l'hypochondre gauche | V:  Irradiation typique sur le bord cubital du bras et de l'avant-bras gauche | V:  Siège précordial | V:  Siège rétrosternal
QCM || Question 163 :     L'administration sublinguale de nitroglycérine dans les crises d'angine a les effets suivants: ||   Si la douleur dure moins de 10 minutes, on pense à un infarctus aigu du myocarde |   Le test thérapeutique de la Nitroglycérine signifie la disparition ou l'atténuation de la crise angineuse après 30 minutes | V:  La douleur disparaît en 30 secondes -3 minutes | V:  Après la première administration, une bouffée supplémentaire peut être répétée après 5 minutes, si la douleur n'a pas disparu |   La douleur disparaît en 30 minutes |   Après la première administration, la deuxième dose peut être est répétée, après une heure | V:  Si la douleur ne disparaît pas en 20 minutes, on pense à un infarctus aigu du myocarde | V:  Le test thérapeutique de la Nitroglycérine signifie la disparition ou l'atténuation de la crise angineuse en 30 secondes-3 minutes après l'administration sublinguale |   La douleur disparaît au bout d'une heure | V:  Si la douleur ne disparaît pas après 3 bouffées de Nitroglycérine, on pense à un infarctus aigu du myocarde
QCM || Question 164 :     La dyspnée est: ||   Un signe clinique du rétrécissement aortique sévère | V:  La difficulté à respirer | V:  Un symptôme | V:  Symptôme d'insuffisance cardiaque gauche |   Un symptôme majeur de pathologie cardiaque | V:  Un signe clinique du rétrécissement mitral sévère |   Un signe clinique | V:  Une perception subjective du patient |   Une maladie |   Un syndrome
QCM || Question 165 :     La dyspnée paroxystique est: || V:  Un symptôme | V:  Un symptôme d'une crise d'asthme | V:  Un symptôme de l'asthme cardiaque |   Une dyspnée en courant | V:  Un symptôme dʼinsuffisance cardiaque gauche aiguë | V:  Un symptôme d'œdème pulmonaire aigu |   Une dyspnée au grand effort |   Un syndrome cardiaque |   Un syndrome respiratoire |   Une cardiopathie
QCM || Question 166 :     Les souffles cardiaques: || V:  Ils sont attribués à écoulement du sang à travers un orifice valvulaire rétrécie ou sténotique | V:  Un souffle systolique au niveau du foyer aortique indique une sténose aortique |   Ils témoignent une angine de poitrine |   Ils sont des bruits cardiaque pathologiques qui indique une péricardite aiguë |   Ils sont des bruits normaux constatés a lʼauscultation cardiaque |   Ils sont des bruits cardiaque pathologiques qui indique une fibrillation auriculaire | V:  Un souffle diastolique dans le foyer mitral indique une sténose mitrale |   Sont des bruits pathologiques constatés à lʼauscultation cardiaque ( patho condition : intensité > ou = a 3/6 ) |   Ils sont des bruits cardiaque qui indique rythme anormal | V:  Ils sont attribués à la turbulence du flux sanguin à cause d‘une pathologie valvulaire
QCM || Question 167 :     La dyspnée de classe IV NYHA signifie: ||   Un syndrome respiratoire | V:  Dyspnée au repos |   Une cardiopathie | V:  La dernière classe de dyspnée dans la classification NYHA |   Un signe clinique |   Un signe clinique en pathologie cardiaque | V:  Un symptôme | V:  Une dyspnée sévère | V:  Un symptôme cardiaque |   Une dyspnée facile
QCM || Question 168 :     Les propositions suivantes concernant lʼauscultation cardiaque sont vraies: || V:  Le premier bruit est synchrones avec le pouls | V:  Normalement on constate un rythme régulier |   Normalement on constate un rythme irégulier | V:  Normalement on constate deux bruits cardiaques |   Normalement chez lʼadulte on constate trois bruits cardiaques | V:  Le galop est un rythme à 3 temps qui indique une insuffisance cardiaque |   Le foyer mitral est à lʼextrémité interne du 2ème espace intercostal gauche |   Le foyer aortique est à lʼextrémité interne du 5ème espace intercostal gauche | V:  Le claquement dʼouverture mitrale est un bruit surajouté qui indique une sténose mitrale |   Le deuxième bruit est synchrones avec le pouls
QCM || Question 169 :     Les palpitations signifient : || V:  Un symptôme |   Un signe clinique de la pathologie cardiaque |   Une cardiopathie |   La perception des mouvements respiratoires |   Un signe clinique | V:  Un symptôme d'arythmie cardiaque | V:  Un symptôme de pathologie cardiaque | V:  Une perception des battements cardiaques irréguliers |   Un syndrome cardiaque | V:  Une perception subjective du patient
QCM || Question 170 :     La syncope signifie: ||   Une maladie respiratoire |   Un symptôme respiratoire |   Un syndrome cardiaque | V:  Un symptôme cardiaque | V:  Une urgence médicale | V:  Un symptôme causé par la réduction marquée du flux sanguin dans le cerveau |   Une cardiopathie | V:  Un symptôme | V:  Perte de conscience |   Une attitude
QCM || Question 171 :     La lipothymie se traduit par : || V:  On la distingue de la syncope, qui correspond à un malaise accompagné dʼune perte brutale et totale de connaissance | V:  Sensation d'asthénie marquée avec perte la conscience de façon incomplète |   Un symptôme de la bronchite aiguë |   Une perte totale de conscience |   Un symptôme du reflux gastro-œsophagien |   Un symptôme de la pneumonie | V:  Une sensation de malaise sans perte brutale et totale de connaissance. | V:  Une grande faiblesse le patient a souvent le temps de s'allonger pour éviter de tomber |   Un symptôme de l'emphysème pulmonaire | V:  La survenue brutale dʼune sensation dʼévanouissement imminent
QCM || Question 172 :     Le choc de l'apex peut être palpé normalement: || V:  Avec le patient en décubitus dorsal |   Normalement dans le 6ème espace intercostal gauche |   Bimanuel | V:  Monomanuel | V:  Avec la paume de l'examinateur |   Avec le patient en orthostatisme | V:  Par la palpation de la région précordiale |   Avec le pouce | V:  Dans le 5ème espace intercostal gauche sur la ligne médio-claviculaire gauche |   Sur la ligne axillaire antérieure
QCM || Question 173 :     Le pouls périphérique est: ||   Composante de l'examen objectif de l'appareil respiratoire | V:  La valeur normale minimale est de 60 battements/minute |   La valeur normale maximale est de 120 impulsions/minute | V:  La valeur normale maximale est de 100 battements/minute |   Il est souvent mesuré au niveau de l'artère fémorale | V:  Composante de l'examen objectif du système cardiovasculaire |   La valeur normale minimale est de 40 impulsions/minute | V:  Normalement c'est régulier |   Normalement c'est irrégulier | V:  Il est souvent mesuré au niveau de l'artère radiale
