QCM || Question 1 : Les facteurs susceptibles de limiter la biodisponibilité après une administration orale sont les suivants : || V:  forte liaison aux protéines plasmatiques | V:  la solubilité du médicament |  des ingrédients spéciaux qui contrôlent la vitesse de libération de l'agent thérapeutique afin de prolonger la durée d'action. |  petite taille des particules du médicament |  propriété du médicament d'être hautement lipophile | V:  l'instabilité chimique de la substance | V:  bioinactivation dans l'intestin ou au premier passage hépatique |  propriété du médicament d'être très hydrophile | V:  vidange rapide de l'estomac | destruction de la substance active du médicament par les protéases
QCM || Question 114 :    On peut choisir pour le traitement de la tuberculose: ||   Tobramycine |   Érythromycine |   Tétracycline |   | 	Chloramphénicol | V:	Éthambutole | V:   Pyrazinamide | V:   Streptomycine | V:  	Isoniazide | V:	 Rifampicine
QCM || Question 115 :    On peut dire que: || V:   L'éthambutol n'est active que contre le Mycobacterium tuberculosis | V:   Le pyrazinamide n'est active que contre le Mycobacterium tuberculosis |    La streptomycine n'est active que contre le Mycobacterium tuberculosis |   La rifampicine est associée à de l'isoniazide, de l'éthambutole et du pyrazinamide durant tout le traitement de la tuberculose |    La rifampicine n'est active que contre le Mycobacterium tuberculosis | V:	 L'isoniazide n'est actif que contre le Mycobacterium tuberculosis |   Une résistance à l'association de la rifampicine et l'isoniazide se développe rapidement durant le traitement de la tuberculose |   Rifampicine est associée à de l'isoniazide, de l'éthambutole et du pyrazinamide durant les 4 premiers mois de traitement | V: 	La rifampicine est associée à de l'isoniazide, de l'éthambutole et du pyrazinamide durant les deux premiers mois de traitement | V:    Une résistance à la rifampicine se développe rapidement lorsqu'elle est administrée seule dans le traitement de la tuberculose
QCM || Question 116 :    On peut choisir pour le traitement contre le Mycobacterium tuberculosis: ||   Doxycycline | V:   Isoniazide | V:   Rifampicine |   Chloramphénicol | Clarithromycine	 | V:	Streptomycine | V:   Éthambutole |   Tobramycine |  	Tétracycline | V:	 Pyrazinamide
QCM || Question 117 :    On peut dire que ne contiennent pas de noyau bêta lactames: ||   Méropénem |   Benzylpénicilline | V:   Sulfaméthoxazole | V:   Clarithromycine |  Méthycilline | V:	Ciprofloxacine | V:   Tetracycline |   Aztréonam | V:  	Rifampicine |  Cefuroxime
QCM || Question 118 :    On peut dire que sont de group macrolides: || V:   Clarithromycine | V:   Érythromycine |   Amikacycine | V:   Josamicine | V:	Azithromycine | Tobramycine	 | V:   Spiramicine (Rovamicine) |   Néomycine |  	Gentamycine |  Streptomycine
QCM || Question 119 :    On peut choisi le(s) group(es) d'antibiotique(s) qu'inhibe la synthèse des protéines bactériennes: || V:   Phénicoles |   Quinolones |   Monobactames |   Glycopeptides | V:  Tétracyclines	 |  Penicillines | V:   Aminosides (Aminoglycosides) | V:   Oxazolidinones |  	Carbapénèmes | V:	Macrolides
QCM || Question 120 :    On peut choisi le(s) group(es) d'antibiotique(s) qu'inhibe la synthèse de la paroi cellulaire bactérienne: || V:   Penicillines |   Macrolides | V:   Glycopeptides | V:   Carbapénèmes |  Quinolones |	 Aminosides (Aminoglycosides) |    Oxazolidinones |   Tétracyclines | V:  Céphalosporines | V:	Monobactames
QCM || Question 121 :    Parmi ces antibiotiques, lesquels sont des pénicillines de semi-synthèse: || V:   Amoxicilline |   Phénoxyméthylpénicilline |   Vancomycine | V:   Ampicilline | V:	Flucloxacilline |  Aztréonam | V:   Méthycilline |   Méropénem | V:  Pipéracilline |  Benzylpénicilline
QCM || Question 122 :    On peut dire que la tétracycline est le traitement de choix dans: || V:   maladie de Lyme |   toxoplasmose |  V:  urétrite non spécifique |   méningites a Haemophilus influenzae | 	colite pseudomembraneuse | 	trichomoniases |    tuberculoses | V:   psittacose | V:      fièvre Q | V:  trachome
QCM || Question 123 :    On peut dire que les tétracyclines: ||   ne présente pas des effets systémiques | V:   peut modifier la coloration des dents chez les jeunes |   diffuse plus facilement par la méninge enflammée | V:   sont des antibiotiques à large spectre | 	constitue le traitement de choix dans l'infection avec Clostridium difficile |	 constitue une alternative dans l'infection avec Clostridium difficile | V:   sont généralement administrées per os | V:   pénètrent bien dans les macrophages |  	contient un noyau bêta lactame | V:  l'absorption est diminuée par la nourriture
QCM || Question 124 :    On peut dire que: ||   Les ions calcium réduit l'absorption intestinale des quinolones |   Les benzylpénicillines sont le traitement de choix de certaines infections intracellulaires | V:   Les antiacides réduits l'absorption intestinale des quinolones | V:   Les organismes sensibles aux tétracyclines accumulent l'antibiotique partiellement par transport actif | V:  L'absorption intestinale des tétracyclines est diminuée par la nourriture | 	Les préparations contenant du fer réduit l'absorption intestinale des quinolones |    Les organismes sensibles aux tétracyclines accumulent l'antibiotique partiellement par diffusion passive | V:   L'absorption intestinale des tétracyclines est variable | V:      Les organismes résistants n'accumulent pas l'antibiotique en raison d'un processus d'efflux |    Les ions magnésium réduit l'absorption intestinale des quinolones
QCM || Question 125 :    On peut dire que: || V:   Les organismes sensibles aux tétracyclines accumulent l'antibiotique partiellement par transport actif |   Les organismes sensibles aux tétracyclines accumulent l'antibiotique partiellement par diffusion passive |   Les ions magnésium réduit l'absorption intestinale des quinolones |   Les préparations contenant du fer réduit l'absorption intestinale des quinolones | V:   Les organismes résistants n'accumulent pas l'antibiotique en raison d'un processus d'efflux |	 L'absorption intestinale des tétracyclines est diminuée par la nourriture | V:   L'absorption intestinale des tétracyclines est variable | V:   Les antiacides réduits l'absorption intestinale des quinolones |  	Les ions calcium réduit l'absorption intestinale des quinolones |  Les benzylpénicillines sont le traitement de choix de certaines infections intracellulaires
QCM || Question 126 :    On peut dire que parmi les effets indésirables des tétracyclines est: ||   ototoxicité |   le syndrome de l'homme rouge |   l'aplasie médullaire | V:   une surinfection par Candida albicans dans l'intestin |	 anémie hémolytique est chez les patients qui présentent un déficit en glucose-6-phosphate déshydrogénas |    les altérations au niveau de tendons | V:  de la diarrhée et des nausées | V:   une surinfection par Candida albicans dans la bouche | V: 	parfois à du muguet | V:    modification de la coloration des dents chez les jeunes
QCM || Question 127 :    On peut dire que parmi les contre-indications des tétracyclines est: || V:  femmes qui allaitent |   acné |  constipation | V:  femmes enceintes | V:  nourrissons | V:	enfants de moins de 12 ans |   le syndrome de l'homme rouge |   maladie de Lime |  	infection avec Chlamydia | V:  nouveaux nées
QCM || Question 128 :    On peut dire que: ||   L’antibioprophylaxie est obligatoire pour tous les patients avec immunosuppression |   L’antibioprophylaxie est obligatoire pour tous les patients avec gastrites | V:   L’antibioprophylaxie est obligatoire pour tous les personnes en contact avec un patient atteint la tuberculose |   L’antibioprophylaxie est obligatoire pour tous les personnes en contact avec un patient atteint méningite | V:	 L’antibioprophylaxie est obligatoire pour tous les patients vivant avec le VIH | V:    La céfuroxime est administrée par injection, souvent en guise de traitement prophylactique avant une chirurgie (habituellement avec du métronidazole pour couvrir les germes anaérobies) |   L’antibioprophylaxie est obligatoire pour toutes les personnes en contact avec un patient atteint de scarlatine |   L’antibioprophylaxie est obligatoire pour toutes extractions dentaires | V: 	L’antibioprophylaxie est obligatoire pour tous les patients avec des prothèses cardiaques valvulaires | V:    La phénoxyméthylpénicilline est utilisée dans le traitement prophylactique de la fièvre rhumatismale
QCM || Question 129 :    On peut dire que: || V:   Le vancomycine peut traiter la colite pseudo-membraneuse (Clostridium difficile) |    L'acide clavulanique peut traiter la colite pseudo-membraneuse (Clostridium difficile) | V:   L'ototoxicité est un effet indésirable commun aux vancomycine et gentamycine | V:   Les associations des chimiothérapeutiques permettent de retarder l’apparition de la résistance bactérienne | V:	 La néphrotoxicité est un effet indésirable commun aux vancomycine et gentamycine | V:   Le métronidazole peut traiter la colite pseudo-membraneuse (Clostridium difficile) |   Les pénicillines peuvent traiter la colite pseudo-membraneuse (Clostridium difficile) |   L'amoxicilline peut traiter la colite pseudo-membraneuse (Clostridium difficile) |    L'ampicilline peut traiter la colite pseudo-membraneuse (Clostridium difficile) |  Les tétracyclines peuvent traiter la colite pseudo-membraneuse (Clostridium difficile)
QCM || Question 130 :    On peut dire que le métronidazole est actif contre: ||   Virus herpétique |   Virus hépatite B | V:   Trichomonas vaginalis | V:   Entamoeba histolytica | 	Mycobacterium tuberculosis | 	Virus influenza | V:  Giardia lamblia |   Candida albicans | V: 	Bacteroides | V:   bactéries anaérobies
QCM || Question 131 :    On peut dire que le tinidazole est actif contre: || V:  bactéries anaérobies | V:   Entamoeba histolytica |   Candida albicans | V:  Giardia lamblia | 	Virus hépatite C | V:	Trichomonas vaginalis |   Virus influenza | V:  Bacteroides |  	Virus varicelle-zona | 	Mycobacterium tuberculosis
QCM || Question 132 :    On peut dire que le métronidazole: ||    n'est pas absorbés per os |   doit être administrés seulement par injection | V:  est bien absorbé per os | V:   est actif contre la plupart des bactéries anaérobies | 	constitue le médicament de choix dans le traitement de Mycobacterium tuberculosis | V:  constitue le médicament de choix dans le traitement de Giardia lamblia |   présent un indice thérapeutique étroit | V:  peut être administré par voie intraveineuse | V:   constitue le médicament de choix dans le traitement d'Entamoeba histolytica | 	constitue le médicament de choix dans le traitement de Candida albicans
QCM || Question 133 :    On peut dire que le tinidazole: ||   constitue le médicament de choix dans le traitement de Mycobacterium tuberculosis | V:  sa durée d'action s'avère plus longue que métronidazole |  présent un indice thérapeutique étroit | V:  est actif contre la Giardia lamblia | 	contiens un noyau bêta lactame | V:  est actif contre la plupart des bactéries anaérobies |   peut modifier la coloration des dents chez les jeunes | V:   est efficace dans les giardiases où les fortes doses de métronidazole peuvent être mal tolérées |  constitue le médicament de choix dans le traitement de Candida albicans | V:  présente des activités similaires au métronidazole
QCM || Question 134 :    On peut dire que les interférons: ||   constitue le médicament de choix dans le traitement de Mycobacterium tuberculosis |   peut modifier la coloration des dents chez les jeunes | V:  sont des immunomodulateurs | V:  déclenche la production d'enzymes qui inhibent la traduction de l'ARNm viral en protéines virales | V:  empêchent la réplication virale |	 peut induit le sarcome de Kaposi | V:  se liant à des récepteurs gangliosidiques spécifiques des cellules-hôtes | V:   sont des glycoprotéines protectrices que notre corps synthétise en réponse à une infection virale |  contiens un noyau bêta lactame |	 constitue le médicament de choix dans le traitement de Candida albicans
QCM || Question 135 :    On peut dire que le traitement avec les interférons est efficace dans: ||   seulement les hépatites chroniques B | V:  la leucémie myéloïde chronique |   seulement les hépatites chroniques C | V:  l'hépatite chronique B | V:  le sarcome de Kaposi | 	giardiases | V:  les hépatites chroniques B et C |    seulement les hépatites A | V: 	l'hépatite chronique C |	l'influenza
QCM || Question 136 :    On peut dire que les effets indésirables des interférons: || V:  un syndrome de type grippal |   l'anémie aplasique | V:  une dépression | V:  la léthargie |	 le syndrome de l'homme rouge | V:  l'anorexie | V:   le fièvre |   la coloration des dents chez les jeunes |  	la colite pseudo-membraneuse (Clostridium difficile) |  les altérations au niveau de tendons
QCM || Question 137 :    On peut dire que: || V:   Les aminoglycosides inhibent la synthèse des protéines bactériennes par le couplage aux sous unités 30S |   Amoxicilline est indiqué pour toxoplasmoses | V:  Les macrolides inhibent la synthèse des protéines bactériennes par le couplage aux sous unités 50S |  Ticarcilline inhibe la fonction de la membrane cellulaire | V:  Érythromycine se fixant aux sous unités 50S | V:    Chloramphénicol se fixant aux sous unités 50S |  Azithromycine inhibe la synthèse de la paroi cellulaire bactérienne |   Gentamycine se fixant aux sous unités 50S |  	Érythromycine se fixant aux sous unités 30S | V:   Les tétracyclines inhibent la synthèse des protéines bactériennes par le couplage aux sous unités 30S
QCM || Question 138 :    On peut dire que: ||   L'œdème de Quincke est une réaction immunologique de type III | V:   L'anémie hémolytique chez les patients qui souffrent d'une carence en glucose-6-phosphate déshydrogénase est une réaction immunologique de type II | Le choc anaphylactique est une réaction immunologique de type III |  Le choc anaphylactique est une réaction immunologique de type IV | V:  Une nécrolyse épidermique toxique est une réaction immunologique de type IV | V:  La maladie sérique est une réaction immunologique de type III | V:  Le choc anaphylactique est une réaction immunologique de type I |  L'œdème de Quincke est une réaction immunologique de type IV | 	Une nécrolyse épidermique toxique est une réaction immunologique de type II | V:  L'œdème de Quincke est une réaction immunologique de type I
QCM || Question 139 :    On peut dire que parmi les médicaments immunosuppresseurs est: ||   benzylpénicilline |  Ampicilline | V:   Prednisolone | V:   Méthotrexate |  On peut dire que parmi les médicaments immunosuppresseurs est: | V:  Tacrolimus |   Métronidazole | V:   Azathioprine |   Amoxicilline | V:	 Ciclosporine
QCM || Question 140 :    On peut dire que parmi les médicaments qui empêchent le virus d'entrer ou de sortir de la cellule-hôte est: ||    Valaciclovir |   Aciclovir |   Zidovudine | V:   Enfuvirtide |	 Les interferons | V:  Le groupe des inhibiteurs de la neuraminidase | V:   Oseltamivir | V:  Amantadine | V: 	Zanamivir |	 Ganciclovir
QCM || Question 141 :    On peut dire qu'inhibe la synthèse d'acide folique: ||  Doxycycline | V:  Sulfadiazine |  Gentamycine | V:  Sulfadoxine  | 	Streptomycine | V:  Sulfaméthoxazole |   Amikacine | V:  Triméthoprime | 	Clarithromycine | V:  Cotrimoxazole
QCM || Question 142 :    On peut dire que parmi les mécanismes responsables de la résistance vis-à-vis des médicaments antimicrobiens est/sont: ||  Inhibition de la synthèse des acides nucléiques | V:  Diminution de l'accumulation du médicament | V:   Développement de voies métaboliques alternatives |   Inhibition de la synthèse de la fonction de la membrane cellulaire |	 Inhibition de la synthèse des protéines bactériennes | V:  Enzymes inactivantes qui détruisent le médicament |  Inhibition de la synthèse de la paroi cellulaire |  Inhibition de la synthèse d'acide folique | V: 	Altération des sites de liaison | V:  La membrane de la cellule bactérienne devient imperméable au médicament
QCM || Question 143 :    On peut dire que parmi les mécanismes d'action des médicaments antimicrobiens est/sont: || V:   Inhibition de la synthèse de la fonction de la membrane cellulaire | V:   Inhibition de la synthèse des acides nucléiques |  Développement de voies métaboliques alternatives |  La membrane de la cellule bactérienne devient imperméable au médicament | V:  Inhibition de la synthèse de la paroi cellulaire | V:  Inhibition de la synthèse des protéines bactériennes | V:  Inhibition de la synthèse d'acide folique |   Altération des sites de liaison |  	Enzymes inactivantes qui détruisent le médicament |	 Diminution de l'accumulation du médicament
QCM || Question 144 :    On peut dire que: || V:   La production d'une dihydrofolate réductase modifiées explique pourquoi les bactéries peuvent devenir résistantes aux sulfamides | V:   La production d'une dihydrofolate réductase modifiées explique pourquoi les bactéries peuvent devenir résistantes au triméthoprime |  V:  Les bêta-lactamases produites par de nombreux staphylocoques inactivent la plupart des pénicillines |  La résistance aux tétracyclines se développe lorsque la membrane de la cellule bactérienne devient imperméable au médicament |	 Les bêta-lactamases produites par de nombreux staphylocoques inactivent l'acide clavulanique | Les bêta-lactamases produites par de nombreux staphylocoques inactivent le triméthoprime | V:  La résistance aux tétracyclines se développe lorsque lorsqu'il y a une augmentation de l'efflux au niveau de la membrane de la cellule bactérienne |  La production d'une dihydrofolate réductase modifiées explique pourquoi les bactéries peuvent devenir résistantes au sulfamethoxazole |  Les bêta-lactamases produites par de nombreux staphylocoques inactivent le tazobactam | V:	 Les bêta-lactamases produites par de nombreux staphylocoques inactivent de nombreuses céphalosporines
QCM || Question 145 :    On peut dire que l'infection avec Pseudomonas aeruginosa peut être traitée avec: ||  V:   Ticarcilline+l'acide clavulanique | V:   Ciprofloxacin |  V:   Piperacilline+tazobactam |  Tétracycline | V:  Ceftazidime | Doxycycline |  Azithromycine |  Erythromycine | V: 	Gentamycine |	Clarithromycine
QCM || Question 146 :    On peut dire que: ||  V:  Flucloxacilline est une pénicilline pénicillinase-résistante |  V:  L'acide clavulanique est un inhibiteur de la bêta-lactamase |   Ticarcilline est un inhibiteur de la bêta-lactamase |  Phénoxyméthylpénicilline est une pénicilline à large spectre |  Phénoxyméthylpénicilline est une pénicilline pénicillinase-résistante |	 Benzylpénicilline est une pénicilline à large spectre | V:  La phénoxyméthylpénicilline présente le même spectre que la benzylpénicilline, mais elle est moins active |  Benzylpénicilline est une pénicilline pénicillinase-résistante | V:  Tazobactam est un inhibiteur de la bêta-lactamase | Tazobactam est une pénicilline pénicillinase-résistante
QCM || Question 147 :    On peut dire que les inhibiteurs de la bêta-lactamase: ||  Ticarcilline + l'acide clavulanique sont administrés dans le cas d'infections par Toxoplasma | V:  Tazobactam peut être associée avec pipéracilline | V:   Piperacilline + tazobactam sont administrés dans le cas d'infections sévères occasionnées par des germes à Gram négatif | V:  L'acide clavulanique peut être associée avec amoxicilline | V:    L'acide clavulanique peut être associée avec ticarcilline |	 L'acide clavulanique administrée seulement est bactéricide | V:  Ticarcilline + l'acide clavulanique sont administrés dans le cas d'infections sévères occasionnées par des germes à Gram négatif |  Piperacilline + tazobactam sont administrés dans le cas d'infections par Giardia lamblia |  Piperacilline + tazobactam sont administrés dans le cas d'infections par Toxoplasma | Ticarcilline + l'acide clavulanique sont administrés dans le cas d'infections par Giardia lamblia
QCM || Question 148 :    On peut dire que les céphalosporines sont utilisées dans le traitement des: ||  infections avec Mycobaterium tuberculosis | giardiasis | V:  pneumonies | V: l'influenza | 	méningites | V:    infections avec Pseudomonas aeruginosa – applicable pour Ceftazidime |  infections du tractus urinaire |   infections avec Toxoplasma | 	tuberculosis | V:  septicémies
QCM || Question 149 :    On peut dire que les céphalosporines: || V:   La ceftazidime est moins efficace que la céfuroxime contre les germes à Gram positif (par ex. Staphylococcus aureus) |  Les céphalosporines inhibent la synthèse des protéines bactériennes | V:   La ceftazidime présente un spectre d'activité plus large pour les bactéries à Gram négatif | V:   La ceftazidime présente un spectre d'activité plus étendu vis-à-vis des bactéries à Gram négatif, y compris Pseudomonas aeruginosa |  La céfuroxime est détruit par les bêta-lactamases | V:  Le céfadroxil est administré per os |  La céfuroxime est administrée par voie parentérale |  Les céphalosporines sont indiquée pour le traitement de la tuberculose |  Les céphalosporines inhibent la synthèse des acides nucléiques | V:  La ceftriaxone présente une demi-vie plus longue que celles des autres céphalosporines
QCM || Question 150 :    On peut dire que: || V:  Les inhibiteurs de bêta-lactamases peuvent ouvrir le cycle bêta-lactame |  Le benzylpénicilline est indiqué dans les infections des tractus urinaire qui s'avèrent résistantes à l'amoxicilline | V:  Le co-amoxiclav est indiqué dans les infections des tractus respiratoire qui s'avèrent résistantes à l'amoxicilline | V:   Les pénicillines sont très peu toxiques que autres antibiotiques | V:  Les enzymes (bêta-lactamases, pénicillinase) produit par de nombreuses bactéries peut ouvrent le cycle bêta-lactame | V:  Le co-amoxiclav est indiqué dans les infections des tractus urinaire qui s'avèrent résistantes à l'amoxicilline |  Le benzylpénicilline est indiqué dans les infections des tractus respiratoire qui s'avèrent résistantes à l'amoxicilline |  La flucloxacilline n'est pas efficace contre les staphylocoques producteurs de bêta-lactamases |  Le co-amoxiclav est indiqué chez les personnes allergiques à l'amoxicilline |  Les bêta-lactames sont des antibiotiques bactéricides
